// overflow areas start at 449000, with 100 lines for each scenario starting at 
// 449000 + (scenarioNo - 1) * 100

//
// Scenario One
//

444049 "Nidintu-Bel"
444050 "Mercenaries"
444051 "Babylonian Commander"
444052 "Treasure Cart"
444053 "Sapper Tunnel"
444054 "Monument of Babylon"
444055 "+ Bring the supply carts to Darius."
444056 "+ Deliver the Treasure Cart to the mercenary camp."
444057 "+ Meet with Darius in the main siege camp."
444058 "+ Choose a bodyguard by bringing Artaphernes to them.\nYour choice will persist in future scenarios!"
444059 "- Bring Artaphernes to the cavalry to command them."
444060 "- Bring Artaphernes to the infantry to command them."
444061 "- Bring Artaphernes to the archers to command them."
444062 "+ Defend the Sapper Tunnels: (<SappersIntact>/3 left)."
444063 "+ Defend the Sapper Tunnels until they bring down the walls: (<SappersIntact>/3 Sappers remain)."
444064 "+ Destroy the 2 Fortified Towers in west Babylon."
444065 "- Locate the city's five mercenary camps (<MercsFound>/5 camps found)."
444066 "- Locate the city's five mercenary camps (<MercsFound>/5 camps found) to collect additional troops."
444067 "- Find Treasure Carts to bribe Babylonian commanders."
444068 "- Bring Treasure Carts to Babylonian commanders to bribe them."
444069 "- Bring Treasure Carts to the Babylonian Commanders."
444070 "- Recruit wounded Hero units at the Fort."
444071 "+ Capture the Ziggurat of Babylon."
444072 "+ Deliver the Treasure Cart to the Mercenary Camp."
444073 "Babylonian Cavalry"
444074 "OR"
444075 "- You can now train cavalry. -"
444076 "- You can now train infantry. -"
444077 "- You can now train archers. -"
444084 "- Kill the corrupt Tax Collector."
444085 "Heal Artaphernes (<cost>)\nSelect to heal Artaphernes and return him to the fight!"
444086 "Heal Datis (<cost>)\nSelect to heal Datis and return him to the fight!"
444087 "Royal Convoys"
444088 "- Use units to collect stranded Supply Carts."
444089 "Choose one of the three bodyguards by bringing Artaphernes to them. Your choice will persist in future scenarios!"
444090 "Babylonian Militia"
444091 "+ Cross the dried-up river."
444092 "+ Construct a dam across the river."
444093 "- A Supply Cart has arrived safely. -"
444094 "+ Train more units until you have at least 10.\n(<Military Population>/10 units owned.)"
444095 "- Train additional bodyguard units at the Fort."
444096 "Tower"
444097 "River Dam"
444098 "Immortals can swap between a spear and a bow."
444099 "Babylonians"

// overflow one
449000 "Ziggurat of Babylon"
449001 "Use the villager to construct a dam."
449002 "+ Defeat the Babylonian navy."

//
// Scenario Two
//

444100 "<BLUE>Aristagoras: Glorious days lie ahead, my friend! Soon we shall seize Naxos, and bask in the praise of the Great King — and the riches of conquest."
444101 "<ORANGE>Artaphernes: We are not friends, Aristagoras, nor do I need my brother's approval. Now, we must make ready for the first convoy to arrive: I suggest we prepare an escort, in case bandits try to seize the wagons."
444102 "<BLUE>Aristagoras: Pfft, bandits? This region is entirely safe."
444103 "<PURPLE>Convoy Leader: Help! Bandits are on our tail!"
444104 "<ORANGE>Artaphernes: Six-eyed Dahāka! Protect the convoy!"
444105 "<ORANGE>Datis: Charge! Defend what belongs to the Great King!"
444106 "<ORANGE>Artaphernes: Datis. I presume my brother sent you here to keep an eye on me?"
444107 "<ORANGE>Datis: Just here to dispense some military advice. The Great King doesn't fund expeditions like this without oversight — even for family."
444108 "<ORANGE>Artaphernes: A convoy has arrived — sturdy oak for the ships' hulls. See it safely to Miletus."
444109 "<ORANGE>Artaphernes: Another convoy is on its way: three thousand akinakai and spears of Cypriot iron. "
444110 "<ORANGE>Artaphernes: The ropes have arrived. See that they make it to Miletus."
444111 "<ORANGE>Artaphernes: Ten thousand arrows, fletched with the feathers of eagles. Bring them in."
444112 "<ORANGE>Artaphernes: Food supplies are coming in now — barley flour, lentils, dates; a thousand artabae of each."
444113 "<ORANGE>Artaphernes: Thirty-four thousand oars arrive. This expedition had better be worth it, Aristagoras."
444114 "<ORANGE>Artaphernes: Here are two-hundred oxen in train, fit for the table of a king — never mind a petty tyrant."
444115 "<ORANGE>Artaphernes: These bleating lambs should suffice for your sacrificial offerings, Aristagoras."
444116 "<ORANGE>Datis: Be vigilant, Artaphernes — your brother does not approve of waste."
444117 "<ORANGE>Datis: The Great King keeps careful tallies of all his possessions — take care not to waste them, Artaphernes."
444118 "<ORANGE>Datis: What folly has this Greek roped you into, Artaphernes? The Great King will be angered by these losses."
444119 "<ORANGE>Datis: Enough! The king will not countenance any more waste. The expedition is cancelled."
444120 "<BLUE>Aristagoras: My shipwrights will put this splendid wood to good use."
444121 "<BLUE>Aristagoras: What delights you bring me, Artaphernes! To have such good friends is a sweet thing indeed."
444122 "<ORANGE>Artaphernes: Are you certain that this expedition will be a success?"
444123 "<BLUE>Aristagoras: Of course! I have good friends among the Naxians — they will ensure our victory, I promise you that."
444124 "<BLUE>Aristagoras: What animals do you think it best to sacrifice before the voyage? I had a fine white heifer that might have been suitable, but we ate that."
444125 "<BLUE>Aristagoras: Ah, fodder for the animals, good. Oh, this food is for the men?"
444126 "<ORANGE>Datis: The King approved this expedition while drunk, and then again while sober. Though I wonder if he may have been a little hungover the second time."
444127 "<BLUE>Aristagoras: The Great King honors us with the bounty of his realm."
444128 "<BLUE>Aristagoras: Poseidon prefers bulls to lambs, you know… But this should do!"
444129 "<ORANGE>Datis: The Greeks, for all their faults, have many wise oracles who speak to their gods — one of which is not far from here. I would counsel you to visit."
444130 "<AQUA>Priestess: Ah, satrap, I was told of your arrival. Hear these words, straight from sun-bright Apollo: if you launch your ships against the isle where Father Zeus was raised, a great city will burn."
444131 "<ORANGE>Artaphernes: Precisely my intention. Perhaps these Greek oracles are worthwhile after all. I shall bring offerings and fresh barley cakes to your temple."
444132 "<ORANGE>Artaphernes: Accept these offerings, priestess, and bless our infantry."
444133 "<ORANGE>Artaphernes: Accept these offerings, priestess, and bless our keen-eyed archers."
444134 "<ORANGE>Artaphernes: Accept these offerings, priestess, and bless our cavalry."
444135 "<ORANGE>Artaphernes: The sight of my entourage has prompted a slew of petitions from the squabbling villages here. "
444136 "<RED>Ionian Townswoman: Here comes the satrap — he'll clear this up for us."
444137 "<RED>Ionian Townsman: He'll affirm that the land is mine! My grandfather got married beneath that very tree, and my great-grandfather died tripping over that very root."
444138 "<ORANGE>Artaphernes: Lay the boundary marker here. Scribe, note its location: if any man moves it, may daenā forsake his soul."
444139 "<ORANGE>Artaphernes: More village squabbles — I suppose I ought to investigate."
444140 "<RED>Ionian Townsman: Satrap! Thank Zeus you've arrived — this thief lays claim to my goats!"
444141 "<RED>Ionian Townswoman: Hera take your tongue, you liar! Look at its markings — just like half the other goats in my paddock!"
444142 "<ORANGE>Artaphernes: There, you have my judgement. Only Greeks could argue so fiercely over such inelegant creatures."
444143 "<BLUE>Aristagoras: Since you're here, Artaphernes, I've had this old farmer buzzing in my ear for weeks about squatters on his land. Maybe you could clear them out?"
444144 "<ORANGE>Datis: I suggest you leave this one to me, satrap."
444145 "<ORANGE>Datis: It is done. In future, Aristagoras, I suggest you resolve such problems yourself — we have no use for puppet rulers who cannot rule."
444146 "<ORANGE>Datis: I hear complaints throughout this land that the tax collectors take more than their proper due. I suggest we investigate."
444147 "<ORANGE>Artaphernes: What sort of tax collectors bear such deadly arms? Or brandish them at their rightful satrap?"
444148 "<ORANGE>Artaphernes: How are we to keep the empire loyal, when men like Aristagoras allow such corruption to fester?"
444149 "<RED>Ionian Townswoman: Ah, satrap, thank the gods you came!"
444150 "<RED>Ionian Townsman: You honor us with your presence, satrap."
444151 "<ORANGE>Artaphernes: You have all you asked for, and more. Now deliver me a victory, Aristagoras."
444152 "<BLUE>Aristagoras: Set a course for Naxos! The Milesians will storm the city; Persians, you take out their naval base."
444153 "<ORANGE>Artaphernes: My men have done their part… You seem to be losing a lot of men, Aristagoras."
444154 "<BLUE>Aristagoras: No, all going well here, just… By Zeus, his head came clean off! Sound the retreat! A, er, tactical retreat!"
444155 "<ORANGE>Artaphernes: Where are you going, Aristagoras? Aristagoras, where are you going?"
444156 "2. Greeks Bearing Gifts"
444157 "Ionia, 499 BCE"
444158 "Artaphernes, satrap of Lydia, readies an expedition to seize the island of Naxos. This should be a simple task — or so the wily Greek Aristagoras claims..."
444159 "Aristagoras"
444160 "Convoy Leader"
444161 "Ionian Townswoman"
444162 "Ionian Townsman"
444163 "Supply Cart"
444164 "Convoy Guard"
444165 "Elite Convoy Guard"
444166 "Concerned Ionian"
444167 "Tax Collector"
444168 "Marauder"
444169 "Ionians"
444170 "Naxos"
444171 "Bandits"
444172 "Miletus"
444173 "Sun-Branded Goat"
444174 "Moon-Branded Goat"
444175 "+ Protect the first Convoy."
444176 "+ Do not lose <Total> or more Supply Carts.\nSupply Carts lost: <Carts>"
444177 "+ Escort the Supply Carts to the city of Miletus."
444178 "- Tribute 500 food and 300 gold to the Ionians."
444179 "+ Ensure enough carts survive for Aristagoras to build <Ships Desired> ships\nShips built: <Ships Built>"
444180 "- Limited resources have been salvaged from a lost convoy. -"
444181 "<PURPLE>Next convoy arrives in %d"
444182 "- The fleet is ready for battle. -"
444183 "- The invasion fleet is moving into position for the glorious conquest of Naxos. -"
444184 "+ Destroy both Naxian Shipyards: <Shipyards Destroyed>/2 Shipyards destroyed"
444185 "- Bring Artaphernes to the left flag to side with the Ionian Townswoman's rightful claim."
444186 "- Investigate the corrupt tax collectors."
444187 "- Bring Artaphernes to the Oracle's Temple."
444188 "Oracle's Temple"
444189 "- Choose an aura effect at the Oracle's Temple. Your choice will persist in future scenarios!"
444190 "- Choose an aura effect for Artaphernes at the Oracle's Temple. Select one of the three icons to enable Artaphernes to boost nearby infantry, cavalry, or archers. Your choice will persist in future scenarios!"
444191 "+ Destroy <Shipyards>/3 Shipyards on Naxos."
444192 "+ Destroy the Harbor on Naxos." 
444193 "Cavalry Aura I"
444194 "Select <b>Cavalry Aura I<b>\nGive Artaphernes an aura effect that will boost nearby <b>cavalry<b> units."
444194_perth "Give Artaphernes an aura effect that will boost nearby cavalry units."
444195 "Infantry Aura I"
444196 "Select <b>Infantry Aura I<b>\nGive Artaphernes an aura effect that will boost nearby <b>infantry<b> units."
444196_perth "Give Artaphernes an aura effect that will boost nearby infantry units."
444197 "Archery Aura I"
444198 "Select <b>Archery Aura I<b>\nGive Artaphernes an aura effect that will boost nearby <b>archer<b> units."
444198_perth "Give Artaphernes an aura effect that will boost nearby archer units."
444199 "+ Await the first convoy."

// overflow two
449100 "Select the Oracle's Temple to choose an aura effect for Artaphernes."
449101 "Greek Noble Cavalry (Bodyguard)"
449102 "Cretan Archer (Bodyguard)"
449103 "Ekdromos (Bodyguard)"
449104 "Scythian Axe Cavalry (Bodyguard)"
449105 "Sakan Axeman (Bodyguard)"
449106 "Bactrian Archer (Bodyguard)"
499107 "<Carts Spawned>/13 convoys have entered the region."
449108 "Brasideios (Bodyguard)"
449109 "Lysander's Raider (Bodyguard)"
449110 "Aristagoras is beginning his assault on Naxos!"
449111 "- Tribute 500 food and 300 gold to the Ionians."
449112 "The Ionians can be tributed through the diplomacy menu."
449113 "<PURPLE>Final four carts arrive from all directions in %d"


//
//Scenario Three
//

444200 "<BLUE>Aristagoras: Hear me, citizens: for too long, the Great King has stolen what is yours! Tell me, do you stand for rats in your storehouses, locusts in your fields, thieves in your marketplaces? No... No! So march with us, brothers, and take back what’s ours!"
444201 "<ORANGE>Artaphernes: Aristagoras! That lying traitor! Assemble the men — I want that renegade apprehended!"
444202 "<ORANGE>Datis: The Greeks have quite the host — we must build up our forces before we face them directly. "
444203 "<BLUE>Aristagoras: Now fellow Greeks, some may say, 'Aristagoras, you gladly served the Persians for years, gaining wealth and power — who are you to now proclaim our liberty?' I respond: who could understand the bitter yoke of Persia better than its most decorated slave?"
444204 "<ORANGE>Datis: We must try to retake the towns — they are our recruiting grounds, as well as sources of tribute."
444205 "<ORANGE>Artaphernes: Gold darics are disappearing from the treasury — treachery at my own court! We shall intercept the thieves, and uncover those behind this scheme."
444206 "<ORANGE>Artaphernes: There — daiva-cursed dogs bearing gold from the treasury. Apprehend them!"
444207 "<ORANGE>Artaphernes: As I thought — they carry messages in Greek. Have them brought in and translated."
444208 "<ORANGE>Datis: Another message — bring it in."
444209 "<ORANGE>Datis: Let's get that message deciphered."
444210 "<ORANGE>Artaphernes: As I thought — messages in Greek. There seems to be an entire network of traitors, operating among the towns… We need more information."
444211 "<ORANGE>Artaphernes: There seems to be an entire network of traitors, operating among the towns… We need more information."
444212 "<ORANGE>Artaphernes: It seems the traitors operate through merchants… Names, I need names!"
444213 "<ORANGE>Artaphernes: Philocles son of Alexandros; Thales the dye-maker; Hekatomnos of Ephesus. Kill the traitors."
444214 "<ORANGE>Datis: Impressive, Artaphernes. It seems your brother isn't alone in his talent for retribution."
444215 "<BLUE>Aristagoras: Throw off your Persian masters, and lend me your bows!"
444216 "<BLUE>Aristagoras: Swift archers, join our noble cause!"
444217 "<BLUE>Aristagoras: Swordsmen, lend your blades to the cause of freedom."
444218 "<BLUE>Aristagoras: Mighty tamers of horses, throw off your Persian overlords!"
444219 "<BLUE>Aristagoras: Masterful builders of chariots, we have need of your craft."
444220 "<BLUE>Aristagoras: Muscle-bound slingers, loose your rocks in the cause of freedom!"
444221 "<BLUE>Aristagoras: Bronze-clad hoplites, fight beside your Greek brothers!"
444222 "<BLUE>Aristagoras: This city once furnished the Great King with his elite guards — now its men stand with me!"
444223 "<BLUE>Aristagoras: The Great King will be upset that this happened on your watch, Artaphernes."
444224 "<BLUE>Aristagoras: These men wish only to be free — and so they are, once more."
444225 "<BLUE>Aristagoras: Freed once again from bondage to the Great King!"
444226 "<BLUE>Aristagoras: Zeus Soter blesses this victory!"
444227 "<BLUE>Aristagoras: Zeus Eleutherios, witness this triumph!"
444228 "<BLUE>Aristagoras: Another town rid of Persian despotism."
444229 "<BLUE>Aristagoras: Freedom for Ionia, that’s all that matters to me. And if I happen to benefit along the way, that’s just the gods rewarding the righteous."
444230 "<ORANGE>Datis: Archers! You fight for the Great King once more."
444231 "<ORANGE>Datis: Swift archers, remember your true master."
444232 "<ORANGE>Datis: Sharpen those akinakai — the Great King has need of you."
444233 "<ORANGE>Datis: Chariot-makers, the Great King has need of your craft. "
444234 "<ORANGE>Datis: Return to the service of the Great King."
444235 "<ORANGE>Artaphernes: Those fine bronze shields will look better in our front line."
444236 "<ORANGE>Artaphernes: Your treachery will be forgiven, horse tamers, if you ride for us."
444237 "<ORANGE>Artaphernes: My brother need not hear of your treachery, if you serve me well."
444238 "<ORANGE>Artaphernes: The town is ours once more."
444239 "<ORANGE>Artaphernes: We have driven the rebels out."
444240 "<ORANGE>Artaphernes: Another town reclaimed."
444241 "<ORANGE>Datis: This town serves its rightful king again."
444242 "<ORANGE>Datis: Our rule is restored here."
444243 "<ORANGE>Datis: Come, Artaphernes: stand before the townspeople and restore your rule."
444244 "<ORANGE>Datis: Your brother sends aid from Susa: his own elite guards, their spears adorned with shining apples."
444245 "<ORANGE>Datis: More reinforcements from Susa."
444246 "<ORANGE>Datis: The Great King sends reinforcements."
444247 "<ORANGE>Datis: Take heart: reinforcements have arrived."
444248 "<ORANGE>Datis: The Lydians set great store by oracles and soothsayers. There is one such oracle nearby — perhaps if we gain the trust of the mountain-dwellers, they will show us the way."
444249 "<ORANGE>Datis: The oracle dwells among the high mountains, like the sacred peak of Bisitun nestling within the Zagros."
444250 "<GREY>Priestess: Your reverence is pleasing, Artaphernes. Step forth, and tell me what manner of blessing you would receive."
444251 "<ORANGE>Artaphernes: Daub the shields of our infantrymen with sweet-smelling incense."
444252 "<ORANGE>Artaphernes: My horsemen seem to spook as easily as their mounts. Bless our steeds and calm their nerves."
444253 "<ORANGE>Artaphernes: Teach our bowmen prayers to your archer god, to whisper as they notch their arrows."
444254 "<ORANGE>Datis: We must drive Aristagoras from both the large cities, not just the small towns."
444255 "<ORANGE>Artaphernes: See how the traitor flees! An oath-breaker, a liar, and now a coward!"
444256 "<BLUE>Aristagoras: How's this for an oath, Persian: I swear by Ares, Enyo, and blood-loving Phobos that I shall return, and you will cower before me."
444257 "3. The Ionian Revolt"
444258 "Ionia, 499 BCE"
444259 "Rebellion! Rather than face punishment for failing the Great King, Aristagoras and his fellow Greeks have revolted. Artaphernes and Datis scramble to contain the rebels."
444260 "Loyal Towns"
444261 "Rebel Towns"
444262 "Aristagoras's Army"
444263 "Traitors"
444264 "Aristagoras's Bodyguard"
444265 "Philocles"
444266 "Thales"
444267 "Hekatomnos"
444268 "Archer Guard"
444269 "Infantry Guard"
444270 "Cavalry Guard"
444271 "Greek Commander"
444272 "Persian Commander"
444273 "Sardis"
444274 "Oracle of Apollo"
444275 "Secret Message"
444276 "- Reclaim towns by capturing their towers.\nEach town provides tribute and a unit bonus."
444277 "- Reclaim towns by capturing their towers (reduce their HP).\nEach town you control provides a regular tribute of gold, and gives a bonus for a different type of unit."
444278 "- Kill the traitorous Messengers."
444279 "- Take the Secret Message to your Fort."
444280 "- Kill <Traitors>/3 Traitors."
444281 "- To reclaim your stolen gold, kill the 3 leading traitors: Philocles, Thales, and Hekatomnos."
444282 "- Build a Town Center in the flagged location."
444283 "- Bring Artaphernes to the Oracle."
444284 "+ Do not lose all towns:\n<Satrapies Owned>/8 Towns held"
444285 "- <Satrapies Owned>/8 Towns held"
444286 "+ Kill Aristagoras."
444287 "- Town taken: Archer bonus active! -"
444288 "- Town taken: Cavalry Archer bonus active! -"
444289 "- Town taken: Swordsman bonus active! -"
444290 "- Town taken: War Chariot bonus active! -"
444291 "- Town taken: Immortals bonus active! -"
444292 "- Town taken: Lancer bonus active! -"
444293 "- Town taken: Skirmisher bonus active! -"
444294 "- Town taken: Light Cavalry bonus active! -"
444295 "- Reinforcements have arrived! -"
444296 "- Datis provides vision over adjacent towns! -"
444297 "- Cavalry Aura I received. -"
444298 "- Infantry Aura I received. -"
444299 "- Archery Aura I received. -"
444300 "- Cavalry Aura improved. -"
444301 "- Infantry Aura improved. -"
444302 "- Archer Aura improved. -"
444303 "Aristagoras is almost in control of the entire region! Reclaim your towns!"
444304 "- Heal Artaphernes at the Fort."
444305 "- Upgrade the Town Center in the flagged area to a Fortified Satrapy."
444306 "- Heal Datis at the Fort."
444307 "- Kill the traitorous Messengers to recover their secret messages and discover who is stealing your gold. Messengers will spawn randomly and make their way across the map."
444308 "- Collect <Messages>/3 Secret Messages at your Fort."
444309 "Fire Temple"
444310 "+ Do not lose all towns:\n<Satrapies Onwed>/8 Towns held"
444311 "- Build a Town Center in the flagged area to try to convince the mountain dwellers to reveal the Oracle."
444312 "Bonus Objectives"
444313 "and"
444314 "- Traitors stole gold from your treasury! -"
444315 "+ Bring the Supply Carts to Miletus.\nYou can send units to take control of stranded supply carts."
444316 "Bandit Camp"
444317 "- Upgrade the Town Center you built in the flagged area to a Fortified Satrapy, and the mountain dwellers will reveal the Oracle's location."
444318 "Mountain Dwellers"
444319 "The Achaemenids can upgrade their Town Centers to boost nearby economic or military production, or fortify them against attack."
444320 "- Build a Fort to train bodyguard units and research special technologies."
444321 "- Research a Mutually Exclusive Technology at the Fort."
444322 "You have a choice of two mutually exclusive unique technologies. Researching one will disable the other."
444323 "- Train more bodyguard units at the Fort."
444324 "- Town lost: Archer bonus lost! -"
444325 "- Town lost: Cavalry Archer bonus lost! -"
444326 "- Town lost: Swordsman bonus lost! -"
444327 "- Town lost: War Chariot bonus lost! -"
444328 "- Town lost: Immortals bonus lost! -"
444329 "- Town lost: Lancer bonus lost! -"
444330 "- Town lost: Skirmisher bonus lost! -"
444331 "- Town lost: Light Cavalry bonus lost! -"
444332 "Economic Town Center"
444333 "Military Town Center"
444334 "Fortified Town Center"
444335 "- Upgrade the Town Center you built in the flagged area to a Fortified Town Center, and the mountain dwellers will reveal the Oracle's location."
444358 "1. Escort Supply Carts to Miletus to fund Aristagoras's fleet.\n\n2. Each convoy you successfully bring in will also grant you resources.\n\n3. This scenario contains an aura quest. Visit the Oracle and fulfil her quest to give Artaphernes an aura that improves nearby infantry, archers, or cavalry.\n\n4. Tribute can be sent through the diplomacy tab.\n\n5. In Chronicles, some of the decisions you make will affect future scenarios. In this scenario, your choice of aura effect for Artaphernes will persist in future scenarios.\n\n6. Heroes can obtain multiple aura effects. You will have the option to add additional auras to Artaphernes in future scenarios.\n\n7. The Achaemenids have the War Chariot at their disposal, a powerful cavalry unit that tramples nearby infantry underfoot."
444359 "1. You are limited to the Classical Age.\n\n2. Build up your economy and army before confronting Aristagoras. Remember to create plenty of villagers!\n\n3. Each town you own will periodically send you tribute, as well as providing a unique bonus for a different type of units. Retake towns by capturing their Towers (reduce their HP until they convert).\n\n4. The Achaemenids can upgrade their Town Centers to specialize in economic productivity, military productivity, or defense.\n\n5. In the Classical Age, you can choose between two mutually-exclusive technologies at the Fort. Choosing one will disable the other.\n\n6. This scenario contains an aura quest for Artaphernes - gain the trust of the mountain dwellers to reveal the Oracle's location.\n\n7. Chronicles features cross-scenario choices - the decisions you make in one scenario can affect future scenarios. In addition to the Bodyguard and aura choices there are other actions that can impact future scenarios in small ways.\n\n8. The Bodyguard units you chose in scenario one can be recruited at the Fort.\n\n9. The Achaemenids have the War Chariot at their disposal, a powerful cavalry unit that tramples nearby infantry underfoot.\n\n10. The Achaemenids' unique unit, the Immortal, wields both a spear and a bow and can swap between the two.\n\n11. The rivers of this region are too shallow to support the construction of warships."
444360 "1. Welcome to Chronicles.\n\n2. Do as you are commanded with the forces you are given, and conquer Babylon.\n\n3. In Chronicles, some of the decisions you make will affect future scenarios. In this scenario, your choice of bodyguard will persist in future scenarios.\n\n4. The types of mercenaries available on the map will be different each playthrough. Each kind of mercenary unit comes with unique bonuses and uses.\n\n5. The Achaemenids have the War Chariot at their disposal, a powerful cavalry unit that tramples nearby infantry underfoot.\n\n6. The Achaemenids' unique unit, the Immortal, wields both a spear and a bow and can swap between the two."
444361 "Select an aura effect for your hero at the Oracle's Temple."
444362 "Research <b>Economic Town Center<b> (<cost>)\nUpgrades this Town Center to an Economic Town Center, making all nearby Villagers gather 15% faster."
444363 "Research <b>Military Town Center<b> (<cost>)\nUpgrades this Town Center to a Military Town Center, making nearby military production buildings work 50% faster."
444364 "Research <b>Defensive Town Center<b> (<cost>)\nUpgrades this Town Center to a Defensive Town Center, increasing its durability and firepower, and making all nearby units attack 15% faster."
444365 "- Train bodyguard units (requires building a Fort)"
444366 "- Train a bodyguard unit at the Fort."
444367 "Only a limited number of powerful bodyguard units can be trained at a time."
444368 "The bodyguard unit you chose for your hero can also be trained at the Fort."
444369 "<b>Artaphernes<b> \n<hp> <attack> <armor> <piercearmor> <range>\n Cavalry Aura I: +4 attack to Cavalry and +2 to Cavalry Archers"
444370 "<b>Artaphernes<b> \n<hp> <attack> <armor> <piercearmor> <range>\n Infantry Aura I: +4 attack to Infantry"
444371 "<b>Artaphernes<b> \n<hp> <attack> <armor> <piercearmor> <range>\n Archery Aura I: +2 attack to Archers"



//
//Scenario Four
//

444400 "<ORANGE>Datis: Bring up the reserves! The acropolis cannot fall!"
444401 "<ORANGE>Artaphernes: You heard him, men — protect the citadel!"
444402 "<ORANGE>Datis: The acropolis may be safe for now, but fire is spreading in the lower city. We must retake Sardis before there's nothing left!"
444403 "<ORANGE>Artaphernes: The main Greek force is gathered in the agora. We are too few to face them now, but we may find men and weapons if we can retake the city districts."
444404 "<ORANGE>Datis: The fire takes hold among the food sellers' stalls."
444405 "<ORANGE>Datis: The coin mints are aflame. There are furnaces there we might use."
444406 "<ORANGE>Datis: Fire in the menagerie! There are fine horses there, choking on smoke!"
444407 "<ORANGE>Artaphernes: That stench can mean only one thing — the fire has spread to the tanneries!"
444408 "<ORANGE>Artaphernes: The smithies are on fire! We should recover what arms we can."
444409 "<ORANGE>Artaphernes: The blaze has spread to the noble quarters! Save the district — then requisition their chariots."
444410 "<ORANGE>Artaphernes: The bowmakers' workshops are aflame!"
444411 "<ORANGE>Artaphernes: The wind carries the fire to the farmland!"
444412 "<ORANGE>Datis: Evil-doing daivas… The food market has burned to ashes."
