IDS_SCENARIO_GAISERIC "Gaiseric (406)"
IDS_SCENARIO_FINEHAIR_HELP_TEXT "Harald Finehair (870-932):\nEstimated completion time: 2 hours.\nHarald Tanglehair is a minor king in a small part of southeastern Norway. He seeks marriage with Gyda, daughter of a more powerful rival, but she scorns his proposal. He must become king of all Norway before she will marry him, she says. Can such words unite a kingdom?\n\nIn this scenario, you will play as the Vikings."
IDS_SCENARIO_ROBERT "Robert (921)"
IDS_SCENARIO_ROBERT_HELP_TEXT "Robert of Neustria (921-923):\nEstimated completion time: 2 hours.\nWhen Robert of Neustria's lands are seized by an ill-advised king and given to plundering Vikings, he decides that he should be king instead. This is not without precedence: Robert's brother had overthrown a king with the support of the Frankish dukes thirty years before. Will Robert be able to do the same?\n\nIn this scenario, you will play as the Franks."
IDS_SCENARIO_OTTO "Otto (936)"
IDS_SCENARIO_OTTO_HELP_TEXT "Otto the Great (936-973):\nEstimated completion time: 2 hours.\nOtto is King of Germany, but he has greater ambitions: to claim Italy and be crowned Holy Roman Emperor by the Pope himself. Standing in Otto's way are rebellious dukes, Viking raiders, pagan Wends, and Magyar horsemen. Can Otto withstand these challenges, ensure the loyalty of his dukes, and become known as 'the Great'?\n\nIn this scenario, you will play as the Teutons."
IDS_SCENARIO_SELJUK "Seljuk (985)"
IDS_SCENARIO_SELJUK_HELP_TEXT "Seljuk (985-1092):\nEstimated completion time: 2-4 hours.\nSeljuk returns to his homeland to find his ancestral pastures taken by hostile tribes. He vows revenge, beginning a generational transformation that will turn shepherds and horse tamers into conquerors and rulers of empires.\n\nIn this scenario, you will play as the Tatars."
IDS_SCENARIO_KARLSEFNI "Karlsefni (1000)"
IDS_SCENARIO_KARLSEFNI_HELP_TEXT "Thorfinn Karlsefni (9th to 11th centuries):\nEstimated completion time: 2 hours.\nAs Harald Finehair subjugates the petty kings of Norway, many Norse seek refuge from his armies and overbearing laws. A few settle in the Faroes but the rocky islands soon become overcrowded. When sailors blown off-course describe new lands to the west, the settlers listen and build their own ships. What will they find beyond the sea -- beyond the Great Whale Road?\n\nIn this scenario, you will play as the Vikings."
IDS_SCENARIO_KOMNENOS "Komnenos (1081)"
IDS_SCENARIO_KOMNENOS_HELP_TEXT "Alexios Komnenos (1081-1118):\nEstimated completion time: 2 hours.\nReeling from the defeat at Manzikert, the Roman Empire is plagued by internal power struggles, rebellions, and foreign invasions. Amid this chaos, Alexios Komnenos resolves to seize the throne and restore the empire's power. Will he rise to be a new Augustus or will he become yet another failed ruler of a dying empire?\n\nIn this scenario, you will play as the Byzantines."
IDS_SCENARIO_STEPHEN "Stephen (1135)"
IDS_SCENARIO_STEPHEN_HELP_TEXT "Stephen of Blois (1135-1154):\nEstimated completion time: 2 hours.\nKing Henry, the last son of William the Conqueror, has died without an heir and England is in turmoil. Stephen of Blois is crowned king in a hasty ceremony. He now confronts those who dare attempt to take his newly-won crown from him.\n\nIn this scenario, you will play as the Britons."
IDS_SCENARIO_TEMUJIN "Temujin (1185)"
IDS_SCENARIO_TEMUJIN_HELP_TEXT "Temujin (1185-1215):\nEstimated completion time: 2 hours.\nBetrayed by those closest to his father, Temujin grows up as an outcast on the Mongolian steppe. When his wife Borte is taken by a tribe of Merkits, he seeks the help of Ong Khan. This unlikely act begins a path of world conquest that reverberates from the forests of Russia to the islands of Japan.\n\nIn this scenario, you will play as the Mongols."
IDS_SCENARIO_MSTISLAV "Mstislav (1203)"
IDS_SCENARIO_MSTISLAV_HELP_TEXT "Mstislav the Bold (1203-1223):\nEstimated completion time: 2 hours.\nMstislav's victories over the Cumans have brought him fame and a marriage to the daughter of the Cuman warlord Kotyan. His relatives now seek his help to further their own ambitions. Can Mstislav unite the warring princes of Rus' before an apocalyptic danger arrives from the east?\n\nIn this scenario, you will play as the Slavs."
IDS_SCENARIO_CONSTANTINE "Constantine XI (1453)"
IDS_SCENARIO_CONSTANTINE_HELP_TEXT "Constantine XI (1453):\nEstimated completion time: 2 hours.\nThe Turks have reached the walls of Constantinople, a city that has withstood assaults for a thousand years. But now the invaders come with cannons. Can Emperor Constantine XI defend the last bastion of the Roman Empire against impossible odds?\n\nIn this scenario, you will play as the Byzantines."
IDS_SCENARIO_FETIH "Fetih (1453)"
IDS_SCENARIO_FETIH_HELP_TEXT "Mehmed II “Fetih” (1453):\nEstimated completion time: 2 hours.\nIn 1453, the Ottoman Sultan Mehmed stands in the shadows of his illustrious forefathers. His shortcomings have even caused the Christian Europeans to celebrate his ascension. To prove himself, the twenty-one-year-old chooses the biggest challenge of all. The Red Apple of the World, Constantinople, stands in the center of his empire, unpicked. Can Mehmed defy his critics and succeed where so many had failed?\n\nIn this scenario, you will play as the Turks."
IDS_SCENARIO_SHIMAZU "Shimazu (1545)"
IDS_SCENARIO_SHIMAZU_HELP_TEXT "Shimazu Takahisa (1545-1571):\nEstimated completion time: 2-3 hours.\nThe Shimazu clan has ruled southwestern Kyushu for two centuries. Now, as powerful daimyos wage vicious war across Japan, this ambitious samurai clan seeks to bring an end to the chaos by uniting Kyushu and defeating the Shogun.\n\nIn this scenario, you will play as the Japanese."
IDS_SCENARIO_NOBUNAGA "Nobunaga (1551)"
IDS_SCENARIO_NOBUNAGA_HELP_TEXT "Oda Nobunaga (1551-1582):\nEstimated completion time: 1-2 hours.\nJapan is divided. Samurai clans battle across the islands and the Shogun is powerless to stop them. Choose your clan and defeat your rivals to unite the land.\n\nIn this scenario, you will play as the Japanese."
IDS_SCENARIO_DRAKE "Drake (1572)"
IDS_SCENARIO_DRAKE_HELP_TEXT "Francis Drake (1572):\nEstimated completion time: 1-2 hours.\nIn 1572, the English explorer and pirate Francis Drake reaches the Spanish Main where the gold and silver of Peru is collected aboard Spanish galleons bound for Europe. With his native England threatened by the looming Armada, Drake sets out to cause as much trouble for the Spanish as he can -- and become rich in the process.\n\nIn this scenario, you will play as the Britons."
IDS_SCENARIO_XIEAN "Xie An (383)"
IDS_SCENARIO_XIEAN_HELP_TEXT "Xie An (383):\nEstimated completion time: 1 hour.\nThe warlord Fu Jian has subjugated the northern kingdoms, leaving only Jin resisting his ambition to conquer all of China. Led by members of the Xie clan—the chief minister Xie An and the general Xie Xuan—the outnumbered Jin hold the eastern bank of the Fei River. There, they face one of the largest armies in Chinese history.\n\nIn this scenario, you will play as the Chinese."

//
// Gaiseric (406)
//

396001 "Romans"
396002 "Comitatenses"
396003 "Franks"
396004 "Goths"
396005 "Mauri"
396006 "Suebi and Alans"
396007 "Enemies"
396008 "1. The Vandals are a migrating people. This means you cannot construct Houses, Mills, Lumber Camps, Farms, or many other buildings. Your Town Center is your only resource drop site.\n\n2. Your Town Center can be packed into an Ox Cart and moved to be unpacked elsewhere. When you move your Town Center all other buildings are lost.\n\n3. Therefore, you should play differently from normal Age of Empires gameplay. Instead, think like a nomadic leader. Scout for resources such as Forage Bushes and enemy Farms that can be captured. When you find a suitable location, stockpile Wood to rebuild your camp as all of your buildings will be lost.\n\n4. Do not be scared to move on. Better to rebuild in resource-rich land than starve to preserve some buildings.\n\n5. Seek out livestock and use your hunting bonus for long-distance gathering.\n\n6. Gold can only be obtained by destroying enemy buildings and killing enemy units. Roman cities and armies carry much more gold than tribal camps.\n\n7. Explore to find priests and warriors of two allied peoples – the Suebi and Alans. Exploring also unlocks new objectives.\n\n8. Roman farms can be captured and harvested by Villagers but not rebuilt.\n\n9. Keep migrating south. You will eventually exhaust your resources and stagnate if you do not keep moving.\n\n10. Your heroes grow stronger as they fight so use them in battle often. You will not lose if they are killed."
396009 "Your scouts report:\n\n- The Vandals have crossed the Rhine into Roman Gaul, already plundered by the earlier-arriving Franks (Purple) and Goths (Cyan). Resources are scarce in this razed Gallic countryside so the Vandals must first steal livestock from their enemies and then continue south to richer lands.\n\n- The Romans (Red) have numerous cities in Gaul, Hispania, and Africa that can be razed for gold and access to resources. This includes farms that can be captured and harvested from, though the Vandals must inevitably move on when the farms are exhausted.\n\n- Once the Romans understand the Vandal threat, they will begin offensive operations against the Vandals. Their Comitatenses represent their mobile field armies based in their cities. Only sacking Roman cities reduces this threat.\n\n- Another nomadic people, the Mauri of North Africa (Yellow), inhabit and raid from their desert oases. They will be a threat to any settlement in Africa.\n\n- Finally, two peoples allied to the Vandals – the Suebi and Alans (Grey) – can be found migrating throughout the region. They will join the Vandals if their camps are found."
396010 "Gunderic"
396011 "Gaiseric"
396012 "Chieftain"
396013 "Suebian Princess"
396014 "Year: <Year> CE"
396015 "Hungry and cold after their severe migration across the frozen Rhine, the Vandals are in no mood for peace. To make way for the Vandals, the Franks must be destroyed."
396016 "The Vandals are a people on the move. The Ox Cart contains the necessities to establish a camp. Unpack the Town Center near the trees and animals at the destroyed Frankish camp."
396017 "+ Find a home for the Vandals."
396018 "- Kill <Chieftains Killed>/4 Frankish Chieftains."
396019 "+ Your Town Center must not be lost."
396020 "+ Unpack your Town Center on the ruins of the Frankish camp."
396021 "The Vandals are a migrating people, travelling to wherever they can find resources and then moving on once the food is exhausted. They cannot construct Mills or Lumber Camps so their Town Center must be moved to grow the tribe."
396022 "To migrate, train an Ox Cart at the Town Center, packing the structure. All other buildings will be dismantled and lost. Migrate once you have exhausted local resources or to escape danger."
396023 "The young King Gunderic and his half-brother Gaiseric are inexperienced warriors. Only killing and raiding will grant them the scars of war honored by the Vandals."
396024 "Gold can only be taken in raids by sacking enemy buildings or killing enemy soldiers."
396025 "+ Explore and raid your surroundings."
396026 "Gunderic has increased a skill level."
396027 "Gaiseric has increased a skill level."
396028 "The Goths herd animals nearby – these can feed many warriors."
396029 "The daughter of the Suebi King has been kidnapped by the Franks. He will give a great reward if she is rescued."
396030 "The Suebi King is grateful."
396031 "The warriors clamor for the chance to sack a Roman city. The plunder that can be taken is too great for the Vandal king to ignore."
396032 "Tonight, the warriors will sing songs for their dead brothers in the burning ruins of the Roman city."
396033 "Spilt Frankish blood is justice for their killing of King Godigisel."
396034 "- Rescue the Suebian princess."
396035 "+ Sack a Roman city."
396036 "There are rich lands – with forage bushes, game, and even farms – further south. Train an Ox Cart at the Town Center to migrate to these lands when ready. You will lose all buildings, so ensure you have enough wood to rebuild."
396037 "The Roman cities are strong but the outlying villages and farms are vulnerable to raids. Farms themselves can be captured and cultivated until they are exhausted. "
396038 "These Alans fled the coming of the Huns and will stake their tents alongside those of the Vandals."
396039 "These Suebi, warriors of the German forests, are ancient friends of the Vandals."
396040 "The Christians among the Vandals ask the king to build a Monastery to spread the righteous teachings of Arius."
396041 "Monastery Enabled. Heresy now available for research."
396042 "The Suebi and Alans await the Vandals on the frontiers of Hispania. There are many Roman cities to sack there."
396043 "In his dreams, the Vandal king sees a great city aflame and conquered by the Vandals. Sacking Rome will immortalize his people."
396044 "But reaching the city is not yet possible. The Vandals must first conquer Hispania."
396045 "The ancient city called Carthage once challenged Rome. It is ordained that this will be the final and sought-after home of the Vandal people."
396046 "From Carthage, they will fulfill their destiny. But without boats, the Vandals must first convert a Roman Dock to make the journey across the sea possible."
396047 "Redemption now available for research at the Monastery."
396048 "The Vandals learn quickly and can now take to the sea. Nothing can stop the Vandals from reaching Africa and sacking Rome. "
396049 "Dock and Ships enabled. "
396050 "- Build a Monastery."
396051 "- Research the Arian Heresy."
396052 "- Reach the Suebi and Alans in Hispania."
396053 "+ Sack Rome."
396054 "+ Research Redemption."
396055 "+ Convert a Roman Dock to build ships."
396056 "+ Settle for good in Carthage."
396057 "Carthage – the final Vandal homeland – is in sight. Settling there will finally end the migration."
396058 "Unpack the Town Center in the flagged area to take control of Carthage's buildings and end the migration."
396059 "After the long journey, the Vandals finally end their migration in Carthage."
396060 "New buildings enabled."
396061 "The sea is still a Roman lake and their fleets block the way to Rome. The Vandals can either build warships to battle for the sea or colonize Sicily and move up the Italian peninsula by land."
396062 "Rome, the greatest city in the world, is now ripe for the taking!"
396063 "The Vandals slaughter and plunder the ancient city of Rome, leaving their mark on the pages of history."
396064 "+ Unpack the Town Center in Carthage to end the migration."
396065 "- Cities sacked: <Roman Cities Sacked>/14."
396066 "- Defeat the Mauri to end their raids."
396067 "Lugdunum sacked."
396068 "Burdigala sacked."
396069 "Massilia sacked."
396070 "Tarraco sacked."
396071 "Carthago Nova sacked."
396072 "Emerita Augusta sacked."
396073 "Caesarea sacked."
396074 "Calaris sacked."
396075 "Palma sacked."
396076 "Syracusae sacked."
396077 "Neapolis sacked."
396078 "Brundisium sacked."
396079 "Dyrrachium sacked."
396080 "Chieftains, Marauders, and Greek Fire available for research at the Barracks, Stable, and Dock."
396081 "Druzhina available for research at the Barracks."
396082 "You have begun free play. When finished, Declare Victory at the Town Center via special technology to end the scenario."
396083 "You have begun free play. When finished, Declare Victory at the Town Center (special technology) to end the scenario."
396084 "Free Play: Declare Victory at the Town Center to end the scenario."
396085 "Declare Victory"
396086 "You have lost your settlement! The tribes scatter and you are defeated!"
396087 "Gunderic falls in glorious battle as his father did. His half-brother Gaiseric now leads the tribes."
396088 "Gunderic falls in glorious battle as his father did. His nephew Huneric now leads the tribes."
396089 "Gaiseric is killed in battle. Gunderic mourns his brother but celebrates his valor."
396090 "Gaiseric is killed in battle. His son Huneric now leads the people."
396091 "Gunderic is close to death! Protect him!"
396092 "Gaiseric is close to death! Protect him!"
396093 "Convert the Roman Dock to gain access to ships. Do not destroy it or you will not be able to reach Africa."
396094 "The first Huns ride into Gaul. The Vandals must venture deeper into Roman territory to escape this threat."
396095 "More Huns enter Gaul..."
396096 "A warlord named Attila has killed his brother and seized command of the Hunnic clans. It will only be a matter of time before he turns his fury upon Rome -- and anyone standing in his way."
396097 "Romans and Goths tremble at the sound of the hooves of the Huns. Attila has come."
396098 "Pack <b>Town Center<b>\nPack the Town Center to move it to another location. Packing destroys all other buildings.\n<hp> <armor> <piercearmor>"

// Gaiseric (406)

398801 "On the last day of the year 406, the Vandals crossed the Rhine River into the Roman Empire."
398802 "Their great King Godigisel had led them a thousand miles from their ancient home, fleeing the discord and violence brought forth by the coming of the Huns."
398803 "When the Vandals reached the frozen Rhine, however, King Godigisel was already dead – killed in battle against the Franks earlier in the year."
398804 "His sons, Gunderic and Gaiseric, now assumed leadership of the tribes. Their people were hungry and cold, shivering on the western bank of the river that marked the frontier between the civilized lands of Rome and the barbarians to the east."
398805 "The Vandals had already trekked across Germania, but their journey had only just begun."
398811 "The destruction and terror the Vandals visited upon Rome would make the people legendary. Centuries later, echoes of this devastation would cause the Vandals to be synonymous with senseless acts of destruction."
398812 "But despite this reputation, the Vandals formed an impressive kingdom in North Africa, converting from migrating Germanic warriors to skilled seafarers inhabiting Rome's most lucrative provinces."
398813 "The great wealth of the Vandal kingdom, however, made it a target for the Emperor Justinian's reconquest of Rome. After ruling North Africa for over a century, the Vandals were finally defeated by the Roman general Belisarius in 534."
398814 "After this defeat, some Vandals joined the Eastern Roman army, serving as cavalrymen in Persia, while others fled to northern Algeria where they melded into the local Berber population."
398815 "The people that had made an incredible migration – from Germania to Gaul to Hispania to Africa – had finally ended their journey. They faded into the mists of history."

//
// Vortigern (440)
//

396101 "Picts"
396102 "Gaels"
396103 "Franks"
396104 "Saxons"
396105 "Romano-British"
396106 "1. You have a population limit of 200 but begin in debt. Your focus should be on rebuilding Britain's economy while withstanding enemy raids.\n\n2. Saxons are key to your survival. As you recruit more Saxons, your armies will become bigger and stronger.\n\n3. The Saxons are your salvation but they may also be your destruction. You cannot survive without them but the more dependent you are on them, the more powerful the Saxon settlements will become. Powerful Saxons will inevitably become enemies.\n\n4. Gradually transition to armies made up of Britons or you will have a disloyal army if the Saxons attack you.\n\n5. Repair the Roman walls and towers as they are better than any you can build. Even infantry can use the towers against your enemies.\n\n6. It is wise to retreat from territory you cannot defend rather than spread your forces thin."
396107 "Your scouts report:\n\n- With the departure of Rome's legions, Britain's survival is uncertain. The cities of Deva, Eboracum, Glevum, and Londinium are all that remain of Roman civilization on the island, but their walls are damaged and their garrisons gone.\n\n- The wild and barbaric Picts (Blue) of the northern highlands threaten Britain. Although Hadrian's Wall has held their hordes back for three centuries, the wall is in disrepair and manned by too few men.\n\n- The Gaels (Green) of Ireland have taken advantage of the disorder to launch piratical raids along the coasts from their island home to the west.\n\n- Likewise, the Franks (Yellow) sail for Britain from their camps on the Frisian coast to the east. They come to plunder Britain as they have plundered Roman Gaul.\n\n- Beset by these barbarians, Britain's salvation may lie in the Germanic Saxons (Grey), fearsome and capable warriors eager to sell their swords for parcels of land."
396108 "Romans"
396109 "Recruit Saxon Foederati"
396110 "Recruit <b>Saxon Foederati<b> (<cost>)\nGive unused lands for military service. The number of warriors gained will increase with subsequent recruitments."
396111 "--Saxon Warriors have arrived--"
396112 "King Vortigern, Britain is defenseless and the treasury is bankrupt. You must recruit Saxons or Britain will fall to the invaders. "
396113 "Select the Wonder and recruit Saxon Foederati."
396114 "The deal is struck. Saxon warriors will fight for you in exchange for settlement lands on the eastern coasts. They have begun to settle now."
396115 "Until you have restored the treasury and rebuilt the army, you will need to rely on Saxons recruited at the Wonder."
396116 "But know this: every Saxon you recruit will increase the size and power of the Saxon settlements -- and they will not remain allies forever. Recruit Saxons judiciously while you build your power."
396117 "As you recruit Saxons -- and their settlements grow -- the warbands become larger and stronger, bolstering your armies."
396118 "The debt prevents you from raising warriors from your own population. You should find gold mines or continue to recruit Saxons."
396119 "The wall built by Emperor Hadrian has held back the barbarous Picts for three centuries. Pray that it will continue to protect Britain."
396120 "These men are sons and grandsons of the last legionaries stationed in Britain. Their armor and weapons were passed down along with faint memories of Roman battle tactics."
396121 "But they are all you have."
396122 "Though the old Roman walls and towers are in disrepair, they are better defenses than any you can build. Even swordsmen can defend a wide area from the top of these towers."
396123 "The Saxons come as warriors but also bring wives and children. They seek a new future in these lands alongside us."
396124 "As you welcome Saxons into your army, their settlements in the east grow and prosper. Already they outnumber the Britons in those lands."
396125 "As the Saxons grow in numbers, they look hungrily at more lands -- your lands. So far, the Saxon kings remain loyal but this will not last."
396126 "Relations between Saxons and Britons have begun to fray as the Saxons encroach on Brittonic lands. Some Saxons have even begun to take from Britons on the edges of Saxon territory."
396127 "The Saxon kings are powerful and they have begun to form alliances and conspiracies against you. The time for war is near. Look suspiciously on any Saxons in your armies."
396128 "Treachery, inevitable barbarian treachery… the Saxons invade and those in your armies have turned their axes against you."
396129 "The treachery of the Saxons has been repaid sevenfold -- the heads of their kings hang from your walls and their populations are dispersed."
396130 "The Gaels are attacking your coast, taking plunder. They must be stopped."
396131 "There are rumors from across the Irish Sea that the High King has died. Expect the raids to increase as claimants seek plunder to prove their right to rule."
396132 "The barbarous Picts have breached the northern wall and are descending upon Britain."
396133 "The warriors tremble as they enter the bleak lands of the Picts."
396134 "The Picts rally their warriors to push you from their lands."
396135 "The Picts have been conquered, their chieftains executed, and their armies dispersed. Your northern borders are secure."
396136 "Frankish raiders have been seen on the eastern approaches to Britain."
396137 "Year: <Year> CE"
396138 "+ Recruit Saxon Foederati."
396139 "+ Survive until 500 CE"
396140 "+ The Wonder must not be destroyed."
396148 "Pictish Chief"
396149 "Eboracum has fallen to the invaders!"
396150 "Londinium has fallen to the invaders!"
396151 "Glevum has fallen to the invaders!"
396152 "Eboracum"
396153 "Londinium"
396154 "Glevum"
396155 "Wonder (Deva)"
396156 "Saxons recruited: <Saxon Number>"

// Vortigern (440)

398821 "As the Empire fell, Rome's legions departed Britain."
398822 "Seizing the opportunity, barbarians attacked the island. They came by land and by sea -- wild Picts of the northern highlands, raiding Gaels from the west, and various Germanic tribes of the east."
398823 "As the walls in Britain crumbled and the towns were plundered, the Britons requested the return of the legions. In response, the Emperor Honorius told the Britons to see to their own defense."
398824 "Britain was now alone."
398831 "Writings from fifth century Britain are limited and the period is shrouded in mythology. Central authority vanished, the cities were emptied, and local lords established hillforts, arming their retainers with weapons left behind by the legions."
398832 "The monk Gildas, writing a century after the fall of Roman Britain, described how the vile King Vortigern invited the Saxons to the island to defend it from other barbarian groups. The Saxons quickly betrayed him, killed Vortigern's sons, and formed kingdoms in eastern Britain. These would eventually become the Anglo-Saxon kingdoms."
398833 "Something of the old Britain remained, however, with roots more ancient than the Romans. In the west of the island, the Welsh preserved Brittonic culture against the fierce Saxons. The Welsh would remain free for nine centuries until the Normans conquered this last frontier."

//
// Charlemagne (768)
//

396201 "Carloman"
396202 "Saxons"
396203 "Lombards"
396204 "Umayyads"
396205 "Avars"
396206 "Minor Factions"
396207 "Pope"
396208 "1. You have a population limit of 200 and are restricted to the Castle Age until you achieve an Imperial Score of 70. You cannot train gunpowder units.\n\n2. Attacking and killing Carloman is an option, but finding a way for him to die while remaining his ally will allow you to seize his territory and army intact.\n\n3. Each faction you defeat provides bonuses.\n\n4. Find scholars (Monks with Relics) to enrich your civilization. Some of them live among your enemies but your enemies will not attack them.\n\n5. The Pope's blessings will make Charlemagne fight with righteous fury. Bring him to Rome when able.\n\n6. A Wonder must be constructed near your starting location. Building elsewhere will be invalid."
396209 "Your scouts report:\n\n- Charles, or Karl, is destined to be known as Charlemagne, but he does not yet rule alone. He shares the kingship of the Franks with his younger brother Carloman (Red). Charles must find a way for his brother to meet a timely death so that he can seize his territory. Then, he must contend with threats on four different fronts.\n\n- To the northeast are the wild forests of Saxony. Defeating the Saxons (Grey) will be like trying to hold a river or the wind in one's hands. Their dense forests are filled with fearsome Saxon infantry.\n\n- To the east are the Avars (Orange), nomadic horsemen from the steppe. Their khagan rules from a great ring fortress somewhere in the east. The Avars fight as cavalry and Cavalry Archers.\n\n- To the south, the Lombards (Yellow) block most routes to Rome. The Lombards fight as infantry, cavalry, and archers.\n\n- To the southwest, the Umayyads rule across the Pyrenees Mountains. Charles' grandfather, Charles Martel, once defeated an invasion by their cavalry, but they remain a powerful and technologically advanced foe. If Charles can overcome them, he may be able to use their learning. The Umayyads fight as cavalry and camelry.\n\n- Several minor factions (Cyan) inhabit nearby lands. Defeating them provides access to resources. Charles' cousin, Tassilo, rules in Bavaria, from where he opposes Charles. He may need to be brought to heel.\n\n- Finally, the Pope (Purple) resides in Rome, a city that has seen far better days. Nonetheless, any aspiring emperor should visit the city at least once."
396210 "Carloman"
396211 "Alcuin of York"
396212 "Paul the Deacon"
396213 "Theodulf of Orléans"
396214 "Petrus Grammaticus"
396215 "Desiderius"
396216 "Widukind"
396217 "Abbi"
396218 "Hessi"
396219 "Pope Adrian"
396220 "Anglo-Saxons"
396221 "Bretons"
396222 "Aquitaine"
396223 "Bavaria"
396224 "Pope Leo III"
396225 "Year: <Year> CE"
396226 "+ Ensure Carloman dies."
396227 "Imperial Score: <Imperial Score>"
396228 "+ Attain 100 Imperial Score."
396229 "Imperial Score increased by finding scholars (+10 each), building a Wonder (+20), defeating enemies (+20 each), and completing secondary objectives (+10 each)."
396230 "- Bring Charlemagne to the Pope."
396231 "- Find <Scholar Count>/4 scholars (Monks with Relics)."
396232 "- Find <Scholar Count>/4 scholars."
396233 "- Convert <Saxon Leaders Converted>/3 Saxon leaders."
396234 "- Depose Tassilo of Bavaria by damaging his Fortress."
396235 "- Protect Barcelona."
396236 "<RED>Carloman: Charles, you and I are destined to bring our people to greatness!"
396237 "<RED>Carloman: Help me, brother. Our enemies are attacking."
396238 "<RED>Carloman: I have fallen, brother. Forgive me. My lands and followers are yours to command."
396239 "<RED>Carloman: Why would you do this, brother? If you want war, then you will have it!"
396240 "<RED>Carloman: There is no worse enemy than he who is closest to you."
396241 "<RED>Carloman: Avenge me, my followers!"
396242 "Barcelona will provide Gold as long as its Market remains standing."
396243 "The Pope blesses Charlemagne. He will fight with holy vigor."
396244 "The defeated Saxons swell Charlemagne's armies. Can train Huskarls at the Barracks. Infantry are trained more quickly."
396245 "The wealth of Italy flows into Frankish hands. Gold gather rates improved and Farms generate Gold."
396246 "The Avar stronghold is filled with plunder from their raids."
396247 "New technologies have arrived from the Umayyads. Castles work more quickly and Monks passively heal units in their vicinity."
396248 "The Bavarian lord surrenders and his marcher Castle is now yours."
396249 "Aachen Cathedral must be constructed in Frankish territory (near starting location)."
396250 "Unlock Imperial Age at 70 Imperial Score."
396251 "Can now research the Imperial Age."
396252 "With Charlemagne's death, you can no longer unlock the Imperial Age."
396253 "- Charlemagne must survive."

// Charlemagne (768)

398841 "In the year 768, Pepin, King of the Franks, son of Charles Martel, and favorite of the Pope, died on campaign."
398842 "By Frankish law, the Franks and their lands were divided between his two sons. The younger of these, Carloman, was given the largest portion."
398843 "Perhaps Pepin had intended his young son to succeed him. Though the other son, Charles, was elder, he had been born out of wedlock. In addition, Pepin's own elder brother had stepped aside so that Pepin could become king."
398844 "At worst, the two brothers would find a way to share their power."
398845 "But what were a father's intentions compared to the strength of one man's will and iron?"
398851 "On Christmas day of the year 800, Charles knelt at an altar in Rome to pray."
398852 "To his apparent surprise, as he bent his head, the Pope placed a bejeweled crown upon him. He was anointed Emperor of Rome."

//
// Ragnar (850)
//

396301 "Norse"
396302 "Northumbria"
396303 "Wessex and Anglia"
396304 "Gaels and Britons"
396305 "Franks"
396306 "Tribal Peoples"
396307 "Viking Raiders"
